Song Name,Artist,Genre,Popularity
Raat Pyar,Jubin Nautiyal,Bollywood,89
Zindagi Mere,KK,Folk,98
Mere Din,Arijit Singh,Folk,94
Raat Mohabbat,Sonu Nigam,Hip-Hop,91
Jaan Jaan,KK,Indie,97
Dil Ishq,Arijit Singh,Folk,89
Din Ishq,Atif Aslam,Indie,90
Ishq Ishq,Atif Aslam,Indie,85
Tere Mohabbat,Shreya Ghoshal,Hip-Hop,99
Dil Raat,Atif Aslam,Pop,87
Zindagi Pyar,Neha Kakkar,Bollywood,98
Raat Mohabbat,Sonu Nigam,Fusion,92
Pyar Mohabbat,Badshah,Hip-Hop,80
Mere Zindagi,Shreya Ghoshal,Indie,88
Jaan Tere,Arijit Singh,Pop,80
Raat Jaan,Atif Aslam,Indie,86
Jaan Ishq,Neha Kakkar,Folk,95
Zindagi Ishq,Jubin Nautiyal,Bollywood,88
Zindagi Mohabbat,Jubin Nautiyal,Indie,94
Zindagi Din,Atif Aslam,Folk,90
Raat Mohabbat,Atif Aslam,Bollywood,96
Mere Pyar,Atif Aslam,Hip-Hop,85
Zindagi Ishq,Arijit Singh,Hip-Hop,94
Mere Raat,Arijit Singh,Bollywood,100
Din Jaan,Shreya Ghoshal,Retro,92
Jaan Raat,Arijit Singh,Retro,97
Mohabbat Mere,Arijit Singh,Hip-Hop,87
Ishq Jaan,Badshah,Indie,95
Mohabbat Jaan,Sonu Nigam,Folk,88
Dil Tere,Atif Aslam,Hip-Hop,95
Tere Ishq,Badshah,Punjabi,85
Pyar Dil,Badshah,Pop,92
Raat Mohabbat,Jubin Nautiyal,Indie,85
Mere Jaan,Shreya Ghoshal,Retro,88
Pyar Tere,Atif Aslam,Pop,80
Din Tere,Shreya Ghoshal,Hip-Hop,97
Ishq Jaan,Arijit Singh,Fusion,85
Pyar Mere,KK,Fusion,90
Mohabbat Jaan,KK,Indie,83
Ishq Mohabbat,Shreya Ghoshal,Pop,80
Raat Mohabbat,Jubin Nautiyal,Retro,87
Mere Tere,Sonu Nigam,Indie,84
Jaan Raat,Neha Kakkar,Fusion,93
Mere Raat,Jubin Nautiyal,Punjabi,90
Pyar Jaan,Sonu Nigam,Pop,80
Raat Dil,Shreya Ghoshal,Fusion,80
Zindagi Mohabbat,Atif Aslam,Indie,81
Mere Ishq,Jubin Nautiyal,Bollywood,95
Raat Ishq,Neha Kakkar,Fusion,100
Mohabbat Jaan,Arijit Singh,Retro,96
Pyar Jaan,Arijit Singh,Hip-Hop,82
Tere Jaan,Jubin Nautiyal,Folk,82
Ishq Ishq,Badshah,Fusion,91
Mere Zindagi,KK,Folk,94
Zindagi Pyar,Atif Aslam,Folk,90
Din Tere,Jubin Nautiyal,Pop,90
Dil Mere,Jubin Nautiyal,Retro,94
Jaan Tere,Shreya Ghoshal,Fusion,100
Dil Ishq,Jubin Nautiyal,Fusion,97
Din Mere,Neha Kakkar,Indie,100
Jaan Jaan,Badshah,Folk,81
Raat Pyar,Jubin Nautiyal,Retro,84
Tere Pyar,Sonu Nigam,Retro,98
Dil Din,Jubin Nautiyal,Pop,87
Dil Zindagi,KK,Folk,98
Zindagi Jaan,Badshah,Punjabi,81
Zindagi Mere,Badshah,Pop,96
Mohabbat Ishq,Badshah,Fusion,99
Ishq Zindagi,KK,Bollywood,100
Ishq Mere,Badshah,Folk,96
Ishq Jaan,Atif Aslam,Punjabi,84
Pyar Din,Atif Aslam,Punjabi,90
Mere Din,Neha Kakkar,Folk,87
Zindagi Ishq,Jubin Nautiyal,Retro,94
Zindagi Ishq,KK,Pop,83
Mohabbat Din,Sonu Nigam,Pop,85
Mohabbat Tere,Sonu Nigam,Punjabi,96
Raat Din,Shreya Ghoshal,Retro,92
Raat Zindagi,Neha Kakkar,Folk,82
Pyar Din,Atif Aslam,Bollywood,80
Tere Zindagi,Badshah,Fusion,94
Din Dil,Atif Aslam,Retro,88
Din Dil,Arijit Singh,Punjabi,87
Jaan Zindagi,Sonu Nigam,Fusion,100
Tere Zindagi,Atif Aslam,Bollywood,81
Jaan Dil,KK,Bollywood,100
Dil Pyar,Badshah,Pop,97
Mere Dil,Badshah,Fusion,80
Pyar Din,Shreya Ghoshal,Folk,100
Dil Mohabbat,Arijit Singh,Fusion,83
Raat Raat,Neha Kakkar,Punjabi,97
Zindagi Tere,Sonu Nigam,Retro,83
Dil Raat,Jubin Nautiyal,Fusion,85
Pyar Raat,Atif Aslam,Hip-Hop,97
Mere Zindagi,Jubin Nautiyal,Punjabi,98
Din Dil,Jubin Nautiyal,Hip-Hop,83
Zindagi Zindagi,Sonu Nigam,Fusion,85
Ishq Mohabbat,Sonu Nigam,Indie,85
Pyar Dil,Shreya Ghoshal,Pop,83
Din Dil,Neha Kakkar,Hip-Hop,87
Ishq Ishq,Jubin Nautiyal,Indie,88
Zindagi Zindagi,Shreya Ghoshal,Bollywood,89
Mere Ishq,Jubin Nautiyal,Pop,93
Zindagi Mere,Atif Aslam,Folk,96
Dil Din,Jubin Nautiyal,Pop,100
Pyar Din,Badshah,Punjabi,94
Ishq Mere,Jubin Nautiyal,Hip-Hop,85
Tere Dil,Jubin Nautiyal,Pop,92
Zindagi Tere,Neha Kakkar,Bollywood,95
Pyar Dil,Sonu Nigam,Retro,94
Pyar Raat,Neha Kakkar,Pop,90
Dil Pyar,KK,Punjabi,93
Pyar Pyar,Arijit Singh,Hip-Hop,84
Pyar Ishq,Atif Aslam,Punjabi,90
Dil Jaan,Atif Aslam,Hip-Hop,87
Jaan Din,Jubin Nautiyal,Pop,92
Raat Mohabbat,Atif Aslam,Punjabi,86
Dil Din,Badshah,Folk,93
Zindagi Mohabbat,KK,Hip-Hop,92
Din Mere,Shreya Ghoshal,Bollywood,87
Tere Jaan,Shreya Ghoshal,Bollywood,96
Pyar Ishq,Atif Aslam,Folk,90
Dil Din,Badshah,Folk,98
Ishq Raat,Sonu Nigam,Hip-Hop,87
Tere Raat,KK,Indie,98
Din Pyar,Badshah,Retro,83
Mohabbat Mere,Jubin Nautiyal,Retro,97
Mere Jaan,Atif Aslam,Retro,87
Din Mere,Badshah,Bollywood,88
Dil Mohabbat,Badshah,Pop,86
Pyar Din,Atif Aslam,Fusion,99
Tere Dil,Badshah,Retro,87
Tere Mere,Shreya Ghoshal,Hip-Hop,92
Zindagi Mere,Atif Aslam,Fusion,81
Jaan Ishq,Shreya Ghoshal,Hip-Hop,94
Din Dil,Shreya Ghoshal,Folk,93
